codi;NOM
3000;T.R.Massapà gran
213;Int. Rodó 1/4 tallat
2110;Pollastres al forn
2141;Sandwich Beixamel
3916;Coca Full i Cabell 1/2 Kg.
5634;FULL PETIT  ESPECIAL PLATA F4
1003;Coca 1/2 Pinyó
1101;Berlina Xocolata.
1224;Braç 1/4 Truf Pinyó
4880;Cafe amb llet
1731;Peix Nata
1060;Coca 1/2 Fruita
5475;Capuccino
2133;Gazpacho
1361;Crois. Vegetal
4992;Tortell reis nata petit
4993;Tortell reis Nata gran
4998;Mousse S.Valenti Yogurt
4999;Panini de pernil
5000;Panini de tonyina
5787;Ciabata rustica
5012;Barra Neu Arrissada.
5038;Lionesa Super 8nata/8trufa
5040;Braç ind. llimona
5047;Pa de Montaña   1 porció
14;pages 2 kgs
3600;Bunyols Normals
7;Pagès 400g
3003;Tortell Reis N/T gran 
1222;Braç 1/4 Pinyó
1292;Pals amb xocolata
1250;Pastís N/T/Y
5501;NEULA XOCO
1711;Braç Ind. Nata
1710;Braç Ind. strataciella
5502;Fuet
24;Pagès Rosca 800g
30;Barra Pagès 1/2
1016;Bis. Casolà Int.
1110;Xuixo Crema
3;Ratlles 500 g
17;Pa Valls 500g
3913;Reixeta Cabell
8;Pagès 400g tallat
1233;Crois. Trufa
1237;Brioix Trufa
3906;Coca Llardons petita
2111;Canelons 8 unitats
2029;brtes.semi petit farcit jamón salado
4882;Infusión  TE
81;Sibarita
23;Pa Galleg 200g tallat
122;Rosca Sobada 1/4
1238;Trena Ind. Nata 
5153;mini reixeta cabell
5438;GRANIZAT
5556;XAPATA entrepà variat
5413;Mona Massini PETITA
5667;TASSA XOCOLATA DESFETA
5696;Braç individ. yema nata
5697;Braç individ. yema trufa
5698;Braç individ. nata mermelada fresa
5731;cafeteria unidad DIPLOMATICO
5788;COCA BRIOIX 250 GRS CREMA O FRUITA
5796; PIZZA OFERTA 1.50€ ATUN
5857;Pa de la salut BAIX EN SAL
5874;3 FUETS Sol i Padris
5730;cafeteria unidad CROISSANT MINI
5835;Aigua ampolla 1.5 l botiga
5939;CHUSCO MOTLLE PIPES
5889;Pa Sant Jullia PRECO
6489;Focaccia besatta
5961;CHUSCO ESPELTA BLANCO
6226;Amanides individual botiga
5089;canelons 4 unitats
5096;Aigua De 50 cl.
1232;Merengues Forn
1216;Braç 1/2 Y/Trufa
1215;Braç 1/4 Y/Nata
1013;Bis. Crema
1285;Tortell Mini N/T
2002;c.Pastís Salmó a porc.
101;Barra Sobada 1/2 Curta
3665;Mona Foto
1402;Canya Cabell
286;Integral Semi Petit
5167;Suc Pinya 200 ml vidre
5168;Suc de taronja 200 ml vidre
5414;Mona nata/trufa PETITA
5297;FIGURA PLANA COLOR
5312;Plats de vidre
5324;cervesa llauna
2117;Callos
67;Pa de Ceba
43;Barra farina 1/4
2164;Semi Rodó Farcit de Pernill
3954;varis  
1357;Crois. pernil i formatge
1331;Ens. Xocolata
1352;Crois. Far. Xocolata
38;Barra 1/2 llenya
82;Pa de Castilla
61;Pa Xef
4881; cafe cortado (Tallat)..
4883;Got de llet
1330;Ensaimada
3927;Mini Reixeta crema
1210;Braç 1/2 Nata
1211;Braç 1/4 Nata
1105;Berlina Crema
5551;Roda primavera, plata
1366;Croissant mini F.crema
120;Rosca Estrella 
1243;Mousse Fruites Bosc
303;S.Sal Int. Barra 200g 
5568;palitos Pipas paquet
1307;Brioix Mini
405;Brt. Semi Petita
5871;HORCHATA
457;Ninot de pa
5;Pagès 800g
4896;Café con hielo
1501;Carquinyolis, kg
3420;Virutes de Sant Josep
1229;Braç 1/2 Fruites
1355;Crois. Mini Artesà
65;Pa de Sègol
1235;Ens. Trufa
2120;Truita de Patates
403;Brt. Semi Super
6195;Bollito nieve rizado CRU
3928; mini Brioix-Crema
1112;Xuixo Nata
2131;Pebrots
1400;Canya Crema
200;Int. Barra 400g
5498;TURRON variado unidad
69;Pa Laxant
3622;Mona Fruita GRAN
1792;Guapo Nata
41;Barra 1/4 fr.
47;Baguette Neu..
4884;Suc de taronja 200ml brick
1217;Braç 1/4 Y/Trufa
10;Pagès 200g tallat
121;Rosca Sobada 1/2
3621;Mona Nat/Trufa GRAN
1346;Ens. Mini Xocolata
1236;Brioix Nata
4757;Suc Pinya 200 ml brick
411;Frankfourt
504;Pa Motllo s.sal
302;S.Sal Brt. 100 g. 
3523;Polvorons Nevats
2172;Muslo pollo relleno
5544;XAPATA PAGES
2145;Valencianets Farcits
2;Ratlles 800g tallades
3907;Coca Llardons gran
1370;Magd. Pinyons
5453;Pa de Sant Julià 
3926;Mini Brioix Nata
1090;Biscuit damero (ajedrez)
111;Rodó Sobat 700g tallat
1251;Pastís Sant Marc
2116;Mandonguilles
3620;Mona Sara GRAN
1335;Ens. Cabell
4582;Farina 
4890;Coca cola
5072;brta. 100 gr.
512;Pa Mot. Int. Petit
2135;Panadons tonyina
2107;Pizza mini variada
1293;Tartaleta Flam
1716;Braç Ind. Trufa-
1325;Magd. Integrals
5412;Mona fruita PETITA
5728;cafeteria unidad ENSAIMADA MINI
5336;suc de taronja natural
5940;CHUSCO MOTLLE PANSES I NOUS
5360;pizza AMERICANA promocion
2142;Flautes Variades
5490;3 croissants PROMOCIO
1351;Crois. Xocolata
36;Barra 1/2 Curta
2119;Fideua
422;Kellis
1103;Berlina Nocilla
5003;Pa Rustic
3922;Coca Brioix Nocilla
20;Pa Galleg Kg tallat
18;Pa Valls 500g tallat
3530;Roscos de Vi
2122;Truita de Botifarra
6023;Bocadillo y bebida caliente
6361;TORRADA PERNIL   beguda
6369;HERRADURA CHOCOLATE  2 X 1.50 €
64;Pa de Soja
22;Pa Galleg 200g
1321;Magd. Sucre
1393;Espardenya 
215;Pa de Pipas
21;Pa Galleg 500g
1350;Croissant
4143;Foto Pastís
421;Flautes
406;Brt. Col·legial
5028;pizza 1 promoció
2118;Espinacs amb beixamel
1219;Braç 1/4 Crema
1364;c.Crois. Mini F.Salat
1421;Delicies Crema
214;Int. Rodó 1/2 s. sal
39;Barra 1/4 llenya
301;S.Sal Barra 1/4
706;Ciabbata Baguette
4753;Cacaolat 200ml
1358;Crois. Frankfourt
1104;Berlina Maduixa
3623;Mona artesanes Grans
3651;Figures xoco blanc SIMON COLL
1100;Berlina normal
2147;Sandwich Int.
50;Barra Pagès Kg tallada 
1281;Tortell N/T gran
2162;Flautes far. Jamón & Queso
4879;Cafe
4750;Fanta llimona llauna
412;Hamburguesa
513;Pa Motllo 5 cereals 
1249;Mousse 3 xocolates
2121;Truita d´Espinacs
3520;Polvorons Ametllats
2163;Semi Rodó Farcit de Salat
4;Ratlles 500g tallades
6;Pagès 800g tallat
210;Int. Rodó 1/2 
3912;Coca Nata/Trufa
1124;Torrijas Sta. Teresa
5761;Triangles coca de vidre
2149;Brtes. Col·legial far. Pernill salat
1241;Mousse Xocolata
1242;Mousse Iogurt
1503;Pastes Te
704;Ciabbata Estirata
1120;Tronquets
2171;Muslo pollo al ajillo
2104;c.tires full només Escalivada 
1214;Braç 1/2 Y/Nata
1274;Tortell N/T petit
440;Bastó Normal petit
4855;Croissant GRATINAT
2170;Ensaladilla
3924;Mini Brioix-Pinyó
3625;Mona Massini GRAN
4769;Pa de truita
456;Número de Pa
3624;Mona Artesanes Petites
1420;Full Petit Especial PLATA F6
1017;Plum Cake
207;Int. Baguettina 
2124;Truita Xampinyons
413;Viena Llarg
2115;Rodó Pavo
46;PA Campanya
4854;Crois. Tonyina
37;Barra 1/4 Curta
2136;Panadons Espinacs
1422;Delicies Xocolata
5583;NESTEA llauna 
112;Rodó Sobat 1/2
1412;Mil Fulls
1200;Rebosteria
5533;fanta taronja llauna
427;Mini Soja 
311;S.Sal Rodó 1/2 
1000;Coca Brioix Llardons
1218;Braç 1/2 Crema
1221;Braç 1/2 Pinyó
1029;Tortas de Còrdova
1333;Ens. Crema
506;Pa Motllo Petit
1339;Ens. Crema cremada
1323;Magd. Poma
2134;Alberginies Farcides
2113;Peus de porc
282;int.barreta 50gr
1328;Magd. Est. Xocolata
1345;Ens. Mini Crema
19;Pa Galleg Kg
201;Int. Barra 200g
1712;Braç Ind. Crema
9;Pagès 200g
2018;c.Kellis Farcits
1730;Palo nata o trufa
42;Barra farina 1/2
1793;Guapo N/T
1212;Braç 1/2 Trufa
5552;Full Fruites plata F4
1405;Canyes Xocolata Mini
1362;Crois. Mini
35;Barra Gallega 1/2
57;Panet de llet
5695;Braç indiv. crocanti trufa
2166;Entrepà truita patata o variada
3510;Tronc Nadal Petit
1401;Canya Xocolata
3531;Roscos Anís
3001;T.R.Massapà petit
415;Valencianets
3532;Roscos de Neu
113;Rodó Sobat 1/2 tallat
3925;Mini Brioix Fruita
2154;Pudding a peso
1511;Rosco Panses
1012;Bis. Casolà
1344;Ens. Minis
212;Int. Rodó 1/4
1329;Magdalenes Mini
71;Pa Oli i Panses
3904;Coca 1/2 Crema S.J
93;Pa Osona Petit
94;Pa Osona Gran
25;Pagès Rosca 400g
102;Barra Sobada 1/4
1213;Braç 1/4 Trufa
3004;Tortell Reis N/T pet. 
1410;Orelles
3650;Figures xoco negre  SIMON-COLL
5694;Braç individ. crocanti nata
312;S.Sal Rodó 1/2 tallat
1363;Crois. Mini F.Xoc
16;Pa Valls Kg tallat
417;Semi Rodó Petit
4100;Espelmes 1 any
4103;Espelmes núm. petit
3914;Reixeta Crema
1296;Tarrina Nata 1/4
2152;Flam
1320;Magdalenes
3602;Bunyols Xocolata
1507;Murcianos
73;Banderillas
1322;Magd. Far. Xocolata
5727;cafeteria unidad MAGDALENA MINI
1257;Pastís de Formatge
2112;Lassanya
2010;c.Croquetes
2143;Flautes int. Far.
1049;Coca d´Oli
4581;Pa Sec Sacs
3601;Bunyols Crema
612;Ciab. Mini Precuit
1324;Magd. Civada
5411;MONA SARA PETITA
5164;suc pressec 200ml brick
5166;suc pressec 200 ml vidre
5171;té
5175;TE BOLSITA
5187;kellis con ajo
5180;panini gordo
2100;Pizza Gran Variada
4583;Pa Ratllat
110;Rodó Sobat 700g
2020;Voulevants salats mini
1500;Coquets
2001;c.Pastís de Tonyina
2146;Ciabbata Farcida
100;Barra Sobada 1/2
5922;CHUSCO MOTLLE CEREALS 
6480;MUFFINS
6527;PAN QUEMAO PROMOCION 2 X 1.50 €
3521;Mantecados Canyella
1353;Crois. Crema
404;Brt. Semi Gran
115;Cordovès
3114;Moniatos
2140;Sandwich 
1234;Ens. Nata
1239;Trena Ind. Trufa
1258;Pastís amb forma
1426;Orejas mini
40;Barra 1/2 fr.
1300;Brioix normal
3860;Mousse S. Valenti llimona
1240;Mousse Llimona
414;Viena Rodó
1244;Mousse de Wisky
1326;Magd. Grans
1390;Pa Cremat 
1042;Coca Forner Gr.
1327;Magd. Estrella
1230;Crois. Nata
418;Semi Rodó Gran
1510;Roscos Vent
1504;Galetes Integrals
72;Rosca d´oli 200g
5628;AIGUA 50 CL PER EMPORTAR
1126;Pastisets Tortosa
2165;Bocadillo Jamón Salado
2144;Brtes. Col·legial Far
407;Brt. Semi mini
1;Ratlles 800g
15;Pa Valls Kg
3910;Coca Crema Quemada
13;Pagès 2 Kg
304;S.Sal Int. Brt. 100g 
1223;Braç 1/2 Trufa Pinyó
300;S.Sal Barra de 1/2
1430;Fruitis
1411;Orelles Xocolata
1205;Lioneses Variades
2114;Macarrons
281;Int. Barra 100g 
5172;tila
5212;Xocolatina 
211;Int. Rodó 1/2 tallat
1419;Tarta Poma Ind
5443;Mousse individual sabores
6371;LAZO DE CHOCOLATE PROMOCION 2 X 1.50 €
6385;ENSAIMADA PROMOCION 2 X1 ... 1.50 €
6521;COCA DIJOUS GRAS verduras,sardina o butifarra,unitat
5964;garrafa subirat 8 l.
6022;Bocadillo y bebida fria
6100;Pasta individual full SENSE SUCRE
6462;NATURCAO PROMOCIO 2 X 1.50 €
